respondent_id,track,track_code,role_code,role,org_code,organisation,country,pv_team_size,offshelf_ai,adoption_code,adoption,methods,n_methods,wishes,pe_apps,pv_apps,pe_freq,pv_freq,genai_changed_pe,interoperability,q22pv_00_using,q22pv_00_pilot,q22pv_00_planned,q22pv_01_using,q22pv_01_pilot,q22pv_01_planned,q22pv_02_using,q22pv_02_pilot,q22pv_02_planned,q22pv_03_using,q22pv_03_pilot,q22pv_03_planned,q22pv_04_using,q22pv_04_pilot,q22pv_04_planned,q22pv_05_using,q22pv_05_pilot,q22pv_05_planned,q22pv_06_using,q22pv_06_pilot,q22pv_06_planned,q22pv_07_using,q22pv_07_pilot,q22pv_07_planned,q22pv_08_using,q22pv_08_pilot,q22pv_08_planned,q22pv_09_using,q22pv_09_pilot,q22pv_09_planned,q22pv_10_using,q22pv_10_pilot,q22pv_10_planned,q22pv_11_using,q22pv_11_pilot,q22pv_11_planned,q22pv_12_using,q22pv_12_pilot,q22pv_12_planned,q22pe_00_using,q22pe_00_pilot,q22pe_00_planned,q22pe_01_using,q22pe_01_pilot,q22pe_01_planned,q22pe_02_using,q22pe_02_pilot,q22pe_02_planned,q22pe_03_using,q22pe_03_pilot,q22pe_03_planned,q22pe_04_using,q22pe_04_pilot,q22pe_04_planned,q22pe_05_using,q22pe_05_pilot,q22pe_05_planned,q22pe_06_using,q22pe_06_pilot,q22pe_06_planned,q22pe_07_using,q22pe_07_pilot,q22pe_07_planned,q22pe_08_using,q22pe_08_pilot,q22pe_08_planned,q22pe_09_using,q22pe_09_pilot,q22pe_09_planned,q22pe_10_using,q22pe_10_pilot,q22pe_10_planned,q22pe_11_using,q22pe_11_pilot,q22pe_11_planned,data_sources,qi1,qi2,qi3,qi4,qi5,qi6,qi7,qi8,qi9,qi10,qi11,qi12,qi13,qi14,qi15,qi16,qi17,term_ml,term_nlp,term_llm,term_pred,term_sig,p_genai,p_ethics,p_jobs,p_reg,p_ready,p_trust,conv_ai_comfort,enablers
R01,Pharmacoepidemiology,PE,assoc-prof,Associate professor,academic,Academic / research institution,Italy,,no,no-planned,No - planning within 2 years,none-method,0,dk-wish,none-pe,,never,,pnts,dk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,expertise,dk,desktop,very,no-dedicated,limited,gdpr,dk,dk,dk,no,not,dk,heard,minimal,no-want,no,2,2,2,2,1,3,4,4,2,1,3,very-comf,reg-clarity;leadership
R02,Pharmacoepidemiology,PE,other-pe,Other (PE),academic,Academic / research institution,United Kingdom,,yes-most,yes-routine,Yes - routine use,classical-ml;deep-learning;nlp;llm;hybrid-causal;federated;xai,7,realtime-pv;federated-wish;synthetic-wish,phenotyping;study-design;causal;nlp-texts;prediction,,daily,,yes,not,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ehr;biobank,expertise,moderately,hybrid,mostly,tre,moderate,gdpr,widely,no,general,partial,not,no,unclear,intermediate,yes-external,occasional,5,4,5,4,1,5,4,2,1,4,4,somewhat-uncomf,reg-clarity;open-tools;data-access
R03,Pharmacoepidemiology,PE,professor,Full professor,academic,Academic / research institution,United Kingdom,,yes-most,yes-routine,Yes - routine use,classical-ml;deep-learning;llm;federated;xai;generative,6,causal-auto;llm-coding;federated-wish,phenotyping;outcome-asc;study-design;causal;data-extract;prediction,,weekly,,yes,dk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,ehr;registry;biobank;literature;synthetic,data,moderately,on-prem,mostly,tre,moderate,access-proc,widely,partial,dk,partial,partial,partial,yes-detail,advanced,no-want,dk,4,3,3,4,2,4,5,1,2,4,3,somewhat-uncomf,collab;leadership;data-access
R04,Pharmacoepidemiology,PE,sr-researcher,Senior researcher,academic,Academic / research institution,United Kingdom,,yes-most,yes-routine,Yes - routine use,classical-ml;deep-learning;llm;hybrid-causal,4,federated-wish;protocol-ai;synthetic-wish,phenotyping;causal;prediction,,weekly,,yes,partial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ehr;claims;biobank,data,highly,on-prem,mostly,tre,moderate,access-proc,widely,yes,general,dk,dk,dk,unclear,advanced,yes-external,yes,4,3,3,4,2,4,4,2,2,4,3,somewhat-uncomf,reg-clarity;leadership;data-access
R05,Pharmacoepidemiology,PE,data-scientist-pe,Data scientist (PE),academic,Academic / research institution,Czech Republic,,yes-most,yes-routine,Yes - routine use,classical-ml;llm;federated,3,signal-scale;causal-auto;federated-wish,outcome-asc;study-design;prediction,,daily,,yes,fully,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ehr;registry;literature;regulatory-docs;synthetic,privacy,partially,hybrid,mostly,cloud-storage,extensive,gdpr,widely,partial,piloting,partial,partial,partial,yes-detail,advanced,yes-external,occasional,4,4,4,4,4,4,5,2,3,4,4,very-comf,collab;integration;open-tools
R06,Pharmacoepidemiology,PE,pe-cro,Epidemiologist/RWE at CRO (PE),academic,Academic / research institution,Netherlands,,yes-most,yes-routine,Yes - routine use,nlp;llm;generative,3,dk-wish,phenotyping;nlp-texts,,daily,,yes,dk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ehr;registry;literature,expertise,moderately,dk,dk,tre,dk,gdpr,dk,partial,no,partial,dk,dk,yes-detail,intermediate,yes-external,dk,5,5,5,4,4,4,5,4,2,3,1,very-uncomf,reg-clarity;training;open-tools
R07,Pharmacoepidemiology,PE,researcher-pe,PE researcher,academic,Academic / research institution,France,,yes-most,yes-routine,Yes - routine use,classical-ml;deep-learning;hybrid-causal;xai,4,br-ai;causal-auto;xai-reg,study-design;causal;prediction,,daily,,yes,not,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,claims,funding,partially,hybrid,mostly,tre,extensive,access-proc,widely,yes,general,partial,partial,partial,yes-detail,intermediate,no-ok,no,5,3,3,5,4,5,5,5,1,4,2,somewhat-uncomf,training;leadership;open-tools
R08,Pharmacoepidemiology,PE,pe-cro,Epidemiologist/RWE at CRO (PE),cro,CRO,Spain,,yes-most,yes-routine,Yes - routine use,classical-ml;llm;use-not-know,2,other-wish;dk-wish,phenotyping;other-pe-uc,,daily,,no,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,dk-ds,none,partially,hybrid,dk,dk,dk,dk,partial,yes,piloting,partial,partial,dk,heard,intermediate,yes-external,occasional,2,2,2,2,2,2,4,2,2,2,4,somewhat-uncomf,reg-clarity;training;leadership
R09,Pharmacovigilance,PV,researcher-pv,PV researcher,academic,Academic / research institution,Netherlands,>10,yes-most,yes-routine,Yes - routine use,classical-ml;nlp;llm;signal-algo,4,signal-scale;realtime-pv;causal-auto,,case-processing;signal-detection;other-pv-uc,,,,,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ehr;registry;spontaneous;biobank;social-media;literature;regulatory-docs,funding,moderately,cloud,somewhat,cloud-storage,moderate,gdpr,partial,yes,piloting,partial,partial,partial,yes-detail,intermediate,yes-external,occasional,5,3,3,5,5,2,4,2,2,3,1,somewhat-comf,training;collab;open-tools
R10,Pharmacoepidemiology,PE,pe-regulator,Regulatory assessor (PE),regulator,Regulatory agency,Germany,,yes-selected,no-none,No - no plans,,0,realtime-pv;causal-auto;xai-reg,causal;data-extract;prediction,,weekly,,yes,not,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ehr;claims;spontaneous;regulatory-docs,computing,not,desktop,very,no-dedicated,moderate,access-proc,none,no,no,no,early,no,yes-detail,intermediate,yes-external,no,4,3,3,4,3,4,4,2,2,1,2,somewhat-uncomf,reg-clarity;training;leadership
R11,Pharmacovigilance,PV,cro-pv,PV specialist at CRO,other-org,Other organisation,Spain,1-2,yes-most,yes-pilot,Yes - pilot/evaluation,generative;use-not-know,1,xai-reg;multimodal;protocol-ai,,reports,,,,,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ehr;regulatory-docs,privacy,partially,cloud,very,cloud-storage,limited,gdpr,minimal,external,no,dev,partial,partial,yes-detail,basic,yes-external,planned,3,3,3,3,3,4,2,2,2,3,3,somewhat-comf,reg-clarity;training;open-tools
R12,Pharmacoepidemiology,PE,pe-cro,Epidemiologist/RWE at CRO (PE),other-org,Other organisation,Spain,,yes-most,yes-pilot,Yes - pilot/evaluation,generative;use-not-know,1,xai-reg;protocol-ai;synthetic-wish,data-extract,,weekly,,yes,partial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,ehr;claims;synthetic,privacy,moderately,cloud,somewhat,cloud-storage,limited,gdpr,minimal,external,no,,,,yes-detail,basic,yes-external,planned,3,3,3,3,3,4,2,2,4,2,3,somewhat-comf,reg-clarity;open-tools;data-access
R13,Pharmacoepidemiology,PE,pe-regulator,Regulatory assessor (PE),regulator,Regulatory agency,Netherlands,,yes-most,yes-routine,Yes - routine use,classical-ml;llm,2,causal-auto;llm-coding,data-extract;prediction,,weekly,,no,partial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,spontaneous;literature,expertise,partially,cloud,dk,dk,moderate,dk,minimal,yes,yes,yes,dk,dk,yes-detail,basic,yes-internal,occasional,3,2,3,4,2,2,5,3,2,2,3,somewhat-comf,training;collab;integration
R14,Pharmacoepidemiology,PE,sr-researcher,Senior researcher,academic,Academic / research institution,Spain,,yes-most,yes-pilot,Yes - pilot/evaluation,classical-ml;nlp,2,signal-scale;realtime-pv,study-design;data-extract,,weekly,,no,partial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dk-ds,computing,moderately,hybrid,mostly,tre,extensive,interop,partial,yes,yes,dev,partial,partial,no,intermediate,no-want,planned,2,2,2,2,3,3,4,4,4,3,3,somewhat-comf,collab;leadership
R15,Pharmacovigilance,PV,researcher-pv,PV researcher,academic,Academic / research institution,Spain,>10,yes-most,yes-pilot,Yes - pilot/evaluation,use-not-know,0,signal-scale;realtime-pv,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ehr;claims;literature;regulatory-docs,computing,moderately,hybrid,mostly,tre,extensive,interop,partial,partial,no,dev,partial,partial,no,intermediate,no-want,planned,2,2,2,2,3,3,4,4,5,3,3,somewhat-comf,collab;leadership;integration
R16,Pharmacoepidemiology,PE,researcher-pe,PE researcher,academic,Academic / research institution,Italy,,yes-selected,yes-pilot,Yes - pilot/evaluation,use-not-know,0,dk-wish,data-extract,,monthly,,yes,dk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,literature,culture,not,desktop,very,no-dedicated,limited,gdpr,minimal,no,piloting,dev,early,no,yes-detail,minimal,no-want,no,1,1,1,1,1,5,5,3,2,2,4,somewhat-comf,reg-clarity;training;collab
